duration_s,pkts_toserver,pkts_toclient,bytes_toserver,bytes_toclient,pkts_total,bytes_total,pps,bps,avg_pkt_size,pkts_dir_ratio,bytes_dir_ratio,syn_asymmetry,pkts_asymmetry,dir_entropy,server_pps,client_pps,server_bps,client_bps,bytes_per_server_pkt,bytes_per_client_pkt,l4_port_class_src,l4_port_class_dst,is_internal_src,is_internal_dst,pat_int_int,pat_int_ext,pat_ext_int,pat_ext_ext,time_of_day_sin,time_of_day_cos,proto_TCP,proto_UDP,proto_ICMP,tcp_flag_SYN,tcp_flag_ACK,tcp_flag_FIN,tcp_flag_RST,tcp_flag_PSH,tcp_flag_URG,tcp_flag_ECE,tcp_flag_CWR,tcp_handshake_ok,dstp_80,dstp_443,dstp_53,dstp_123,dstp_22,dstp_25,dstp_3389,dstp_445,dstp_5353,dstp_8080,dstp_8000,dstp_other,small_flow_flag,long_flow_flag
63.0,267,168,24,0,435,24,6.904761904761905,3.0476190476190474,0.05517241379310345,1.5892857142857142,24.0,1.0,0.22758620689655173,-0.0,4.238095238095238,2.6666666666666665,3.0476190476190474,0.0,0.0898876404494382,0.0,1,1,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
48.0,76,126,98,0,202,98,4.208333333333333,16.333333333333332,0.48514851485148514,0.6031746031746031,98.0,1.0,-0.24752475247524752,-0.0,1.5833333333333333,2.625,16.333333333333332,0.0,1.2894736842105263,0.0,1,1,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
48.0,76,92,64,0,168,64,3.5,10.666666666666666,0.38095238095238093,0.8260869565217391,64.0,1.0,-0.09523809523809523,-0.0,1.5833333333333333,1.9166666666666667,10.666666666666666,0.0,0.8421052631578947,0.0,1,1,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
48.0,76,104,76,0,180,76,3.75,12.666666666666666,0.4222222222222222,0.7307692307692307,76.0,1.0,-0.15555555555555556,-0.0,1.5833333333333333,2.1666666666666665,12.666666666666666,0.0,1.0,0.0,1,1,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1237.0,1461,0,0,0,1461,0,1.1810832659660468,0.0,0.0,1461.0,0.0,0.0,1.0,-0.0,1.1810832659660468,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
958.0,1294,0,0,0,1294,0,1.350730688935282,0.0,0.0,1294.0,0.0,0.0,1.0,-0.0,1.350730688935282,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
2008.0,2204,0,0,0,2204,0,1.097609561752988,0.0,0.0,2204.0,0.0,0.0,1.0,-0.0,1.097609561752988,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
44.0,72,141,113,0,213,113,4.840909090909091,20.545454545454547,0.5305164319248826,0.5106382978723404,113.0,1.0,-0.323943661971831,-0.0,1.6363636363636365,3.2045454545454546,20.545454545454547,0.0,1.5694444444444444,0.0,1,1,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
44.0,72,252,224,0,324,224,7.363636363636363,40.72727272727273,0.691358024691358,0.2857142857142857,224.0,1.0,-0.5555555555555556,-0.0,1.6363636363636365,5.7272727272727275,40.72727272727273,0.0,3.111111111111111,0.0,1,1,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
68.0,96,96,68,0,192,68,2.823529411764706,8.0,0.3541666666666667,1.0,68.0,1.0,0.0,-0.0,1.411764705882353,1.411764705882353,8.0,0.0,0.7083333333333334,0.0,1,1,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1606.0,1846,0,0,0,1846,0,1.149439601494396,0.0,0.0,1846.0,0.0,0.0,1.0,-0.0,1.149439601494396,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
102.0,738,579,63,0,1317,63,12.911764705882353,4.9411764705882355,0.04783599088838269,1.2746113989637307,63.0,1.0,0.12072892938496584,-0.0,7.235294117647059,5.676470588235294,4.9411764705882355,0.0,0.08536585365853659,0.0,1,1,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
102.0,582,495,63,0,1077,63,10.558823529411764,4.9411764705882355,0.0584958217270195,1.1757575757575758,63.0,1.0,0.0807799442896936,-0.0,5.705882352941177,4.852941176470588,4.9411764705882355,0.0,0.10824742268041238,0.0,1,1,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
102.0,362,195,39,0,557,39,5.46078431372549,3.0588235294117645,0.07001795332136446,1.8564102564102565,39.0,1.0,0.2998204667863555,-0.0,3.549019607843137,1.911764705882353,3.0588235294117645,0.0,0.10773480662983426,0.0,1,1,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
530.0,642,0,0,0,642,0,1.211320754716981,0.0,0.0,642.0,0.0,0.0,1.0,-0.0,1.211320754716981,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
0.0,68,0,0,0,68,0,67999999999.99999,0.0,0.0,68.0,0.0,0.0,1.0,-0.0,67999999999.99999,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
0.0,60,0,0,0,60,0,60000000000.0,0.0,0.0,60.0,0.0,0.0,1.0,-0.0,60000000000.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
0.0,326,0,0,0,326,0,326000000000.0,0.0,0.0,326.0,0.0,0.0,1.0,-0.0,326000000000.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
0.0,326,0,0,0,326,0,326000000000.0,0.0,0.0,326.0,0.0,0.0,1.0,-0.0,326000000000.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
102.0,510,495,63,0,1005,63,9.852941176470589,4.9411764705882355,0.0626865671641791,1.0303030303030303,63.0,1.0,0.014925373134328358,-0.0,5.0,4.852941176470588,4.9411764705882355,0.0,0.12352941176470589,0.0,1,1,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
0.0,326,0,0,0,326,0,326000000000.0,0.0,0.0,326.0,0.0,0.0,1.0,-0.0,326000000000.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
0.0,57,0,0,0,57,0,57000000000.0,0.0,0.0,57.0,0.0,0.0,1.0,-0.0,57000000000.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
88.0,356,405,189,0,761,189,8.647727272727273,17.181818181818183,0.2483574244415243,0.8790123456790123,189.0,1.0,-0.06438896189224705,-0.0,4.045454545454546,4.6022727272727275,17.181818181818183,0.0,0.5308988764044944,0.0,1,1,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
0.0,326,0,0,0,326,0,326000000000.0,0.0,0.0,326.0,0.0,0.0,1.0,-0.0,326000000000.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
24.0,128,132,0,0,260,0,10.833333333333334,0.0,0.0,0.9696969696969697,0.0,0.0,-0.015384615384615385,-0.0,5.333333333333333,5.5,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
88.0,456,485,189,0,941,189,10.693181818181818,17.181818181818183,0.20085015940488843,0.9402061855670103,189.0,1.0,-0.030818278427205102,-0.0,5.181818181818182,5.511363636363637,17.181818181818183,0.0,0.4144736842105263,0.0,1,1,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
0.0,68,0,0,0,68,0,67999999999.99999,0.0,0.0,68.0,0.0,0.0,1.0,-0.0,67999999999.99999,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
58.0,86,278,250,0,364,250,6.275862068965517,34.48275862068966,0.6868131868131868,0.30935251798561153,250.0,1.0,-0.5274725274725275,-0.0,1.4827586206896552,4.793103448275862,34.48275862068966,0.0,2.9069767441860463,0.0,1,1,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
58.0,86,422,394,0,508,394,8.758620689655173,54.3448275862069,0.7755905511811023,0.2037914691943128,394.0,1.0,-0.6614173228346457,-0.0,1.4827586206896552,7.275862068965517,54.3448275862069,0.0,4.5813953488372094,0.0,1,1,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6993.0,7377,7535,6767,0,14912,6767,2.1324181324181324,7.7414557414557414,0.4537956008583691,0.9790311877903118,6767.0,1.0,-0.01059549356223176,-0.0,1.054912054912055,1.0775060775060774,7.7414557414557414,0.0,0.9173105598481768,0.0,1,1,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
57.0,85,137,109,0,222,109,3.8947368421052633,15.298245614035087,0.49099099099099097,0.6204379562043796,109.0,1.0,-0.23423423423423423,-0.0,1.4912280701754386,2.4035087719298245,15.298245614035087,0.0,1.2823529411764707,0.0,1,1,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
57.0,85,149,121,0,234,121,4.105263157894737,16.982456140350877,0.5170940170940171,0.5704697986577181,121.0,1.0,-0.27350427350427353,-0.0,1.4912280701754386,2.6140350877192984,16.982456140350877,0.0,1.423529411764706,0.0,1,1,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
72.0,100,152,124,0,252,124,3.5,13.777777777777779,0.49206349206349204,0.6578947368421053,124.0,1.0,-0.20634920634920634,-0.0,1.3888888888888888,2.111111111111111,13.777777777777779,0.0,1.24,0.0,1,1,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
72.0,100,164,136,0,264,136,3.6666666666666665,15.11111111111111,0.5151515151515151,0.6097560975609756,136.0,1.0,-0.24242424242424243,-0.0,1.3888888888888888,2.2777777777777777,15.11111111111111,0.0,1.36,0.0,1,1,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
54.0,82,98,70,0,180,70,3.3333333333333335,10.37037037037037,0.3888888888888889,0.8367346938775511,70.0,1.0,-0.08888888888888889,-0.0,1.5185185185185186,1.8148148148148149,10.37037037037037,0.0,0.8536585365853658,0.0,1,1,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
54.0,82,163,135,0,245,135,4.537037037037037,20.0,0.5510204081632653,0.5030674846625767,135.0,1.0,-0.3306122448979592,-0.0,1.5185185185185186,3.0185185185185186,20.0,0.0,1.646341463414634,0.0,1,1,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
102.0,462,255,39,0,717,39,7.029411764705882,3.0588235294117645,0.05439330543933055,1.811764705882353,39.0,1.0,0.28870292887029286,-0.0,4.529411764705882,2.5,3.0588235294117645,0.0,0.08441558441558442,0.0,1,1,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
0.0,72,0,0,0,72,0,72000000000.0,0.0,0.0,72.0,0.0,0.0,1.0,-0.0,72000000000.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
0.0,73,0,0,0,73,0,73000000000.0,0.0,0.0,73.0,0.0,0.0,1.0,-0.0,73000000000.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
135.0,279,0,0,0,279,0,2.066666666666667,0.0,0.0,279.0,0.0,0.0,1.0,-0.0,2.066666666666667,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
54.0,82,159,131,0,241,131,4.462962962962963,19.40740740740741,0.5435684647302904,0.5157232704402516,131.0,1.0,-0.31950207468879666,-0.0,1.5185185185185186,2.9444444444444446,19.40740740740741,0.0,1.5975609756097562,0.0,1,1,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
54.0,82,147,119,0,229,119,4.2407407407407405,17.62962962962963,0.519650655021834,0.5578231292517006,119.0,1.0,-0.2838427947598253,-0.0,1.5185185185185186,2.7222222222222223,17.62962962962963,0.0,1.451219512195122,0.0,1,1,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
54.0,82,205,177,0,287,177,5.314814814814815,26.22222222222222,0.6167247386759582,0.4,177.0,1.0,-0.42857142857142855,-0.0,1.5185185185185186,3.7962962962962963,26.22222222222222,0.0,2.158536585365854,0.0,1,1,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
64.0,92,166,138,0,258,138,4.03125,17.25,0.5348837209302325,0.5542168674698795,138.0,1.0,-0.2868217054263566,-0.0,1.4375,2.59375,17.25,0.0,1.5,0.0,1,1,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
5937.0,6189,6337,6029,0,12526,6029,2.109819774296783,8.12396833417551,0.481318856777902,0.9766451002051444,6029.0,1.0,-0.01181542391825004,-0.0,1.0424456796361798,1.067374094660603,8.12396833417551,0.0,0.9741476813701729,0.0,1,1,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
38.0,66,356,328,0,422,328,11.105263157894736,69.05263157894737,0.7772511848341233,0.1853932584269663,328.0,1.0,-0.6872037914691943,-0.0,1.736842105263158,9.368421052631579,69.05263157894737,0.0,4.96969696969697,0.0,1,1,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
38.0,66,332,304,0,398,304,10.473684210526315,64.0,0.7638190954773869,0.19879518072289157,304.0,1.0,-0.6683417085427136,-0.0,1.736842105263158,8.736842105263158,64.0,0.0,4.606060606060606,0.0,1,1,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
38.0,66,374,346,0,440,346,11.578947368421053,72.84210526315789,0.7863636363636364,0.17647058823529413,346.0,1.0,-0.7,-0.0,1.736842105263158,9.842105263157896,72.84210526315789,0.0,5.242424242424242,0.0,1,1,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
50.0,78,152,124,0,230,124,4.6,19.84,0.5391304347826087,0.5131578947368421,124.0,1.0,-0.3217391304347826,-0.0,1.56,3.04,19.84,0.0,1.5897435897435896,0.0,1,1,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
50.0,78,152,124,0,230,124,4.6,19.84,0.5391304347826087,0.5131578947368421,124.0,1.0,-0.3217391304347826,-0.0,1.56,3.04,19.84,0.0,1.5897435897435896,0.0,1,1,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
52.0,80,152,124,0,232,124,4.461538461538462,19.076923076923077,0.5344827586206896,0.5263157894736842,124.0,1.0,-0.3103448275862069,-0.0,1.5384615384615385,2.923076923076923,19.076923076923077,0.0,1.55,0.0,1,1,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
52.0,80,140,112,0,220,112,4.230769230769231,17.23076923076923,0.509090909090909,0.5714285714285714,112.0,1.0,-0.2727272727272727,-0.0,1.5384615384615385,2.6923076923076925,17.23076923076923,0.0,1.4,0.0,1,1,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
